Tiktok_Category,GoogleId,Taxonomy
Curlers & Straighteners,488,Hair Curlers
Blouses & Shirts,212,Shirts & Tops
Phone Holders & Mounts,8298,Vehicle License Plate Mounts & Holders
Leggings,204,Pants
Hair Dye,2814,Hair Color
Men's Watches,201,Watches
Body Scrubs & Peels,2747,Body Wash
Camping Lighting,1019,Camping Lights & Lanterns
"Vest, Tank & Tube Tops",1831,Vests
Sandals & Flip Flops,213,Underwear & Socks
Pillows & Bed Wedges,2927,Pillowcases & Shams
Travel Bags,5650,Travel Pouches
Slippers,187,Shoes
Trousers,204,Pants
Body Creams & Lotions,2592,Lotion & Moisturizer
Bedding Sets,569,Bedding
Handheld Games Consoles,1294,Video Game Consoles
Electric Shavers,532,Electric Razors
Body & Massage Oil,6104,Body Oil
Instant Noodles,434,Pasta & Noodles
Storage Holders & Racks,2446,Storage Hooks & Racks
Home Fragrance,592,Home Fragrances
Electric Toothbrushes,527,Toothbrushes
Chocolate & Chocolate Snacks,4748,Candy & Chocolate
Juicers & Blenders,505666,Food Mixers & Blenders
Jackets & Coats,5598,Coats & Jackets
Tote Bags,5608,Shopping Totes
Stuffed Toys,1259,Stuffed Animals
Storage Boxes & Bins,636,Storage & Organization
Sweets,5751,Donuts
Artificial Gemstone Rings,8018,Pretend Jewelry
Heatless Styling Tools,6019,Hair Styling Tools
Wallets,5841,Wallet Chains
Dried Snacks,423,Snack Foods
Blankets & Throws,1985,Blankets
Crossbody & Shoulder Bags,5181,Luggage & Bags
Blusher,6305,Blushes & Bronzers
"Biscuits, Cookies & Wafers",5750,Pastries & Scones
"Adhesives, Tapes & Sealers",503742,Hardware Glue & Adhesives
Eyeliner & Lipliner,2807,Eyeliner
"Hair Removal Cream, Waxing & Shaving",4507,Hair Removal
"Eyebrow Pencils, Powder & Paste",2686,Eyebrow Enhancers
Skincare Kits,7429,Anti-Aging Skin Care Kits
"Cars, Lorries & Trains",916,"Cars, Trucks & Vans"
Pyjamas,2580,Pajamas
Jeans,204,Pants
Indoor Lighting,594,Lighting
Mattress Pads & Toppers,2991,Mattress Pads
Shirts,212,Shirts & Tops
Keyboards & Mice,303,Keyboards
Body Beauty Devices,5978,Body Makeup
Crisps & Puffed Snacks,423,Snack Foods
